osmid;x;y;highway
56373013;-86.726983;33.637598;
56373067;-86.89845;33.540934;
56373073;-86.900053;33.540621;
56373154;-86.887208;33.452742;
56373183;-86.89622;33.455762;
56373188;-86.896642;33.456106;
56373203;-86.897589;33.457106;
56373221;-86.830354;33.546483;
56373309;-86.881973;33.5003234;
56373312;-86.881697;33.500138;
56373368;-86.893378;33.440083;
56373370;-86.893754;33.43981;
56373373;-86.895183;33.438788;
56373393;-86.898741;33.43706;
56373403;-86.900062;33.435927;
56373411;-86.90015;33.43471;
56373417;-86.860588;33.457583;
56373426;-86.861565;33.456885;
56373449;-86.870814;33.45067;
56373471;-86.878331;33.448926;
56373475;-86.87899;33.44856;
56373478;-86.879827;33.448078;
56373480;-86.881505;33.44708;
56373485;-86.883039;33.446181;
56373489;-86.884791;33.445219;
56373509;-86.886892;33.442359;
56373524;-86.889054;33.442345;
56373549;-86.738961;33.508705;
56373550;-86.738515;33.50789;
56373564;-86.738513;33.507373;
56373575;-86.738444;33.507071;
56373578;-86.738111;33.506827;
56373606;-86.738785;33.504797;
56373625;-86.739484;33.504311;
56373879;-86.81679;33.535274;
56373881;-86.8168;33.536087;
56373892;-86.817361;33.536358;
56373898;-86.816183;33.535265;
56373899;-86.81619;33.535505;
56373918;-86.883107;33.470725;
56373923;-86.884688;33.470776;
56373929;-86.886185;33.470843;
56373931;-86.887441;33.470902;
56373938;-86.871382;33.477601;
56373952;-86.8724885;33.4769764;
56373961;-86.8743473;33.4761392;
56374114;-86.80718;33.578539;
56374173;-86.8490342;33.4327222;
56374175;-86.8489245;33.4327858;
56374180;-86.8496529;33.4313216;
56374231;-86.852737;33.437401;
56374236;-86.852417;33.436743;
56374280;-86.8488757;33.4319531;
56374315;-86.85259;33.437426;
56374344;-86.742382;33.522647;
56374353;-86.740794;33.522165;
56374384;-86.7369912;33.5531104;
56374387;-86.739472;33.554819;
56374393;-86.739683;33.554931;
56374394;-86.739683;33.555365;
56374588;-86.77677;33.503296;
56374595;-86.775512;33.50436;
56374602;-86.774271;33.505041;
56374650;-86.752642;33.517885;
56374699;-86.657997;33.613262;
56374705;-86.656988;33.613199;turning_circle
56374755;-86.930582;33.442281;
56374757;-86.93058;33.441409;
56374758;-86.930579;33.440533;
56374759;-86.930578;33.439633;
56374762;-86.930595;33.438755;
56374764;-86.930596;33.437866;
56375002;-86.722553;33.546439;
56375005;-86.720888;33.546604;
56375315;-86.896433;33.539189;
56375319;-86.896453;33.53991;
56375627;-86.676782;33.61905;
56375629;-86.676888;33.619503;
56375872;-86.850391;33.466557;
56375876;-86.852249;33.465462;
56375903;-86.855484;33.464159;
56375909;-86.858175;33.461902;
56375911;-86.860841;33.459668;
56375913;-86.8623399;33.4584072;
56375914;-86.8630044;33.4578459;
56375916;-86.865191;33.455999;
56375937;-86.705631;33.580273;
56375953;-86.704125;33.582204;
56376002;-86.809198;33.567149;
56376007;-86.809138;33.568113;
56376015;-86.808629;33.56865;
56376024;-86.807374;33.570315;
56376029;-86.806962;33.570949;
56376030;-86.8063422;33.571945;
56376040;-86.805789;33.573041;
56376049;-86.80584;33.574014;
56376055;-86.805469;33.574445;
56376060;-86.805144;33.575305;
56376061;-86.805146;33.576601;
56376063;-86.805118;33.577441;
56376372;-86.746493;33.545479;turning_circle
56376452;-86.743988;33.538597;
56376453;-86.743648;33.538238;
56376460;-86.742067;33.536443;
56376478;-86.744023;33.541808;
