stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
846,1862,33rd Ave and 32nd Pl N,,33.555489999999999,-86.80162,,
847,1863,33rd Ave and Shuttleworth Dr.,,33.555549999999997,-86.804239999999993,,
848,1864,Shuttleworth Dr and 33rd Terrace N,,33.556939999999997,-86.803709999999995,,
849,1865,Shuttleworth Dr. and 32nd Pl N,,33.558250000000001,-86.802009999999996,,
850,1866,Shuttleworth Dr. and 33rd St N,,33.558970000000002,-86.801209999999998,,
851,1867,Shuttleworth and 33rd Pl N,,33.559820000000002,-86.800269999999998,,
852,1868,Shuttleworth and 34th Terrace N,,33.561100000000003,-86.798929999999999,,
853,1869,Shuttleworth and 41st St N,,33.5642,-86.797300000000007,,
854,1870,43rd Ave and 36th St N,,33.565809999999999,-86.793629999999993,,
855,1871,43RD AVENUE & 37TH ST,,33.565759999999997,-86.790850000000006,,
856,1872,37th St and 42nd Ave,,33.564860000000003,-86.790790000000001,,
857,1873,42nd Ave and 36th St N,,33.564990000000002,-86.793430000000001,,
858,1874,42nd Ave and Shuttleworth Dr.,,33.565080000000002,-86.796449999999993,,
859,1875,Shuttleworth Dr. and 34th Pl N,,33.561660000000003,-86.798580000000001,,
860,1876,Shuttlesworth Dr and 33rd St N,,33.559130000000003,-86.801220000000001,,
861,1877,Shuttleworth Dr. and 33rd Ave N,,33.555459999999997,-86.804230000000004,,
862,1878,33rd Ave N and 32nd St N,,33.55545,-86.80283,,
863,1879,33rd Ave N and 32nd Pl N,,33.555410000000002,-86.801749999999998,,
864,1880,34th St N and 31st Ave N,,33.55415,-86.798439999999999,,
865,1881,34th St N and 28th Ave N,,33.550649999999997,-86.798389999999998,,
866,1882,34th St and 27th Ave N,,33.549669999999999,-86.798469999999995,,
867,1883,33rd St and 28th Ave N,,33.550719999999998,-86.800550000000001,,
868,1884,29th Ave and 32nd St N,,33.552050000000001,-86.802239999999998,,
870,1886,29th Ave N and 30th St N,,33.552039999999998,-86.808070000000001,,
871,1887,29th Ave N and 29th St N,,33.552109999999999,-86.809970000000007,,
872,1888,28th St N and 30th Ave N (IB),,33.55292,-86.815070000000006,,
873,1889,31st Ave N and Birmingham Towers,,33.553489999999996,-86.816149999999993,,
874,1890,27th St and 31st Ave N.,,33.55294,-86.816919999999996,,
875,1891,27th St N and 30th Ave N,,33.55209,-86.817130000000006,,
876,1892,Carraway Blvd and Finley Blvd (IB),,33.545459999999999,-86.815470000000005,,
877,1893,Carraway Blvd and 21st Ave N (IB),,33.541469999999997,-86.813220000000001,,
878,1894,Carraway Blvd and 19th Ave N (IB),,33.539749999999998,-86.812020000000004,,
879,1895,Carraway Blvd and 16th Ave N (IB),,33.535919999999997,-86.809430000000006,,
880,1896,Carraway Blvd and 12th Ave N (IB),,33.531190000000002,-86.806200000000004,,
881,1897,12th Ave N and 25th St N (IB),,33.530000000000001,-86.808260000000004,,
882,1898,24th Street and Richard Arrington Blvd,,33.527000000000001,-86.807000000000002,,
883,1899,8TH AVE & 24TH ST,,33.523780000000002,-86.804839999999999,,
896,1912,1st Ave and 66th St N,,33.549819999999997,-86.740269999999995,,
897,1913,1ST AVENUE & 68TH ST,,33.551470000000002,-86.738410000000002,,
908,1924,EASTERN HEALTH CLINIC,,33.584739999999996,-86.717460000000003,,
909,1925,ROEBUCK SHOPPING CENTER,,33.59093,-86.701260000000005,,
910,1926,Pkwy East and Orchard Dr,,33.591769999999997,-86.696299999999994,,
911,1927,Pkwy East and Crow Dr,,33.595570000000002,-86.694289999999995,,
912,1928,Huffman Rd farside Roebuck Dr,,33.599559999999997,-86.691119999999998,,
913,1929,Huffman Rd Near Cornerstone School (outb,,33.60378,-86.689279999999997,,
