service_id,date,exception_type
1006,20211028,1
1007,20211029,1
1008,20211030,1
1002,20211031,1
1014,20211101,1
1004,20211102,1
1005,20211103,1
1006,20211104,1
1007,20211105,1
1008,20211106,1
1002,20211107,1
1014,20211108,1
1004,20211109,1
1005,20211110,1
1006,20211111,1
1007,20211112,1
1008,20211113,1
1002,20211114,1
1014,20211115,1
1004,20211116,1
1005,20211117,1
1006,20211118,1
1007,20211119,1
1008,20211120,1
1002,20211121,1
1014,20211122,1
1004,20211123,1
1005,20211124,1
1006,20211125,1
1007,20211126,1
1008,20211127,1
1002,20211128,1
1014,20211129,1
1004,20211130,1
1005,20211201,1
1006,20211202,1
1007,20211203,1
1008,20211204,1
1002,20211205,1
1014,20211206,1
1004,20211207,1
1005,20211208,1
1006,20211209,1
1007,20211210,1
1008,20211211,1
1002,20211212,1
1014,20211213,1
1004,20211214,1
1005,20211215,1
1006,20211216,1
1007,20211217,1
1008,20211218,1
1002,20211219,1
1014,20211220,1
1004,20211221,1
1005,20211222,1
1006,20211223,1
1007,20211224,1
1008,20211225,1
1002,20211226,1
1014,20211227,1
1004,20211228,1
1005,20211229,1
1006,20211230,1
1007,20211231,1
1008,20220101,1
1002,20220102,1
1014,20220103,1
1004,20220104,1
1005,20220105,1
1006,20220106,1
1007,20220107,1
1008,20220108,1
1002,20220109,1
1014,20220110,1
1004,20220111,1
1005,20220112,1
1006,20220113,1
1007,20220114,1
1008,20220115,1
1002,20220116,1
1014,20220117,1
1004,20220118,1
1005,20220119,1
1006,20220120,1
1007,20220121,1
1008,20220122,1
1002,20220123,1
1014,20220124,1
1004,20220125,1
1005,20220126,1
1006,20220127,1
1007,20220128,1
1008,20220129,1
1002,20220130,1
1014,20220131,1
1004,20220201,1
1005,20220202,1
1006,20220203,1
1007,20220204,1
1008,20220205,1
1002,20220206,1
1014,20220207,1
1004,20220208,1
1005,20220209,1
1006,20220210,1
1007,20220211,1
1008,20220212,1
1002,20220213,1
1014,20220214,1
1004,20220215,1
1005,20220216,1
1006,20220217,1
1007,20220218,1
1008,20220219,1
1002,20220220,1
1014,20220221,1
1004,20220222,1
1005,20220223,1
1006,20220224,1
1007,20220225,1
1008,20220226,1
1002,20220227,1
1014,20220228,1
1004,20220301,1
1005,20220302,1
1006,20220303,1
1007,20220304,1
1008,20220305,1
1002,20220306,1
1014,20220307,1
1004,20220308,1
1005,20220309,1
1006,20220310,1
1007,20220311,1
